xid,accuracy,dataset,steps,epoch,batch_size,early_termination,evaluation_time,beta,tau,model
69,0.8681891025641025,fashionmnist,16,100,64,True,11.131037950515747,0.95,0.1,smlp78440040010
70,0.9771634615384616,mnist,8,100,64,False,12.39474892616272,0.95,0.1,simple
71,0.9771634615384616,mnist,8,100,64,True,9.217069625854492,0.95,0.1,simple
72,0.9676482371794872,mnist,8,100,64,False,6.330125093460083,0.95,0.1,smlp78440010
73,0.9676482371794872,mnist,8,100,64,True,5.925887107849121,0.95,0.1,smlp78440010
74,0.8807091346153846,fashionmnist,16,100,64,False,20.495575666427612,0.95,0.1,simple
75,0.8807091346153846,fashionmnist,16,100,64,True,12.649965763092041,0.95,0.1,simple
76,0.8575721153846154,fashionmnist,16,100,64,False,16.902169466018677,0.95,0.1,scnn
77,0.8575721153846154,fashionmnist,16,100,64,True,16.26838707923889,0.95,0.1,scnn
78,0.8681891025641025,fashionmnist,16,100,64,False,10.945353746414185,0.95,0.1,smlp78440040010
79,0.8681891025641025,fashionmnist,16,100,64,True,10.602216005325317,0.95,0.1,smlp78440040010
80,0.9771634615384616,mnist,8,100,64,False,12.44012451171875,0.95,0.1,simple
81,0.9771634615384616,mnist,8,100,64,True,8.990847110748291,0.95,0.1,simple
82,0.9676482371794872,mnist,8,100,64,False,6.256526947021484,0.95,0.1,smlp78440010
83,0.9676482371794872,mnist,8,100,64,True,5.813638687133789,0.95,0.1,smlp78440010
84,0.8807091346153846,fashionmnist,16,100,64,False,20.530053853988647,0.95,0.1,simple
85,0.8807091346153846,fashionmnist,16,100,64,True,12.545467376708984,0.95,0.1,simple
86,0.8575721153846154,fashionmnist,16,100,64,False,17.098187923431396,0.95,0.1,scnn
87,0.8575721153846154,fashionmnist,16,100,64,True,16.101548671722412,0.95,0.1,scnn
88,0.8681891025641025,fashionmnist,16,100,64,False,11.602612018585205,0.95,0.1,smlp78440040010
89,0.8681891025641025,fashionmnist,16,100,64,True,10.585654020309448,0.95,0.1,smlp78440040010
90,0.9771634615384616,mnist,8,100,64,False,12.39484977722168,0.95,0.1,simple
91,0.9771634615384616,mnist,8,100,64,True,9.363073110580444,0.95,0.1,simple
92,0.9676482371794872,mnist,8,100,64,False,6.427303314208984,0.95,0.1,smlp78440010
93,0.9676482371794872,mnist,8,100,64,True,5.97573709487915,0.95,0.1,smlp78440010
94,0.8807091346153846,fashionmnist,16,100,64,False,20.697156190872192,0.95,0.1,simple
95,0.8807091346153846,fashionmnist,16,100,64,True,12.69775128364563,0.95,0.1,simple
96,0.8575721153846154,fashionmnist,16,100,64,False,18.013049840927124,0.95,0.1,scnn
97,0.8575721153846154,fashionmnist,16,100,64,True,15.863199949264526,0.95,0.1,scnn
98,0.8681891025641025,fashionmnist,16,100,64,False,11.37129259109497,0.95,0.1,smlp78440040010
99,0.8681891025641025,fashionmnist,16,100,64,True,11.106730222702026,0.95,0.1,smlp78440040010
